,Rooms,Distance,Postcode,Bathroom,Car,Propertycount,Price_per_unitArea,Type_h,Type_t,Type_u
0,0.1111111111111111,0.052854122621564484,0.06857727737973388,0.125,0.1,0.1707351488641174,0.010129732840751646,1,0,0
1,0.1111111111111111,0.052854122621564484,0.06857727737973388,0.125,0.0,0.1707351488641174,0.009154732997609943,1,0,0
2,0.2222222222222222,0.052854122621564484,0.06857727737973388,0.25,0.0,0.1707351488641174,0.015209724427348793,1,0,0
3,0.2222222222222222,0.052854122621564484,0.06857727737973388,0.25,0.1,0.1707351488641174,0.012546844453993105,1,0,0
4,0.3333333333333333,0.052854122621564484,0.06857727737973388,0.125,0.2,0.1707351488641174,0.018591354588108896,1,0,0
5,0.1111111111111111,0.052854122621564484,0.06857727737973388,0.125,0.0,0.1707351488641174,0.007132204235775176,1,0,0
6,0.2222222222222222,0.052854122621564484,0.06857727737973388,0.25,0.0,0.1707351488641174,0.010595188454609415,1,0,0
7,0.1111111111111111,0.052854122621564484,0.06857727737973388,0.125,0.2,0.1707351488641174,0.008811018730348348,1,0,0
9,0.1111111111111111,0.052854122621564484,0.06857727737973388,0.125,0.2,0.1707351488641174,0.00683280689873502,1,0,0
11,0.2222222222222222,0.052854122621564484,0.06857727737973388,0.25,0.2,0.1707351488641174,0.008695202482381514,1,0,0
13,0.1111111111111111,0.052854122621564484,0.06857727737973388,0.125,0.1,0.1707351488641174,0.008278797787774154,1,0,0
15,0.1111111111111111,0.052854122621564484,0.06857727737973388,0.125,0.2,0.1707351488641174,0.007562295990037907,1,0,0
16,0.2222222222222222,0.052854122621564484,0.06857727737973388,0.25,0.1,0.1707351488641174,0.014768278186453565,1,0,0
17,0.2222222222222222,0.052854122621564484,0.06857727737973388,0.125,0.1,0.1707351488641174,0.01181826704670272,1,0,0
18,0.2222222222222222,0.052854122621564484,0.06857727737973388,0.125,0.0,0.1707351488641174,0.007159933783052357,1,0,0
19,0.1111111111111111,0.052854122621564484,0.06857727737973388,0.125,0.1,0.1707351488641174,0.008166822565073497,1,0,0
20,0.3333333333333333,0.052854122621564484,0.06857727737973388,0.25,0.2,0.1707351488641174,0.002210463138190139,1,0,0
24,0.1111111111111111,0.052854122621564484,0.06857727737973388,0.25,0.1,0.1707351488641174,0.012305128506214546,1,0,0
25,0.1111111111111111,0.052854122621564484,0.06857727737973388,0.125,0.0,0.1707351488641174,0.012410233835343835,1,0,0
27,0.2222222222222222,0.052854122621564484,0.06857727737973388,0.375,0.1,0.1707351488641174,0.012092287421354358,1,0,0
29,0.1111111111111111,0.052854122621564484,0.06857727737973388,0.25,0.2,0.1707351488641174,0.016123697853477885,1,0,0
31,0.2222222222222222,0.052854122621564484,0.06857727737973388,0.25,0.2,0.1707351488641174,0.012170655511593253,1,0,0
32,0.2222222222222222,0.052854122621564484,0.06857727737973388,0.125,0.1,0.1707351488641174,0.010625375323401987,1,0,0
34,0.1111111111111111,0.052854122621564484,0.06857727737973388,0.125,0.0,0.1707351488641174,0.010069464879588133,1,0,0
35,0.2222222222222222,0.052854122621564484,0.06857727737973388,0.25,0.1,0.1707351488641174,0.013836922753278563,1,0,0
